"Name","Korean","English","Japanese","SimplifiedChinese","Spanish","Russian","PortugueseBrazil","German","French","Polish","TraditionalChinese","Turkish"
"Product./Game/Pandora/Data/DA_Pandora_Chain.DA_Pandora_Chain.Description","한때 헤토스를 땅속에 묶어 두었던 봉인의 기억이 새겨진 판도라입니다.","A Pandora marked by the memory of the seal that once bound Hethos beneath the earth.","かつてヘトスを地の底に縛った封印の記憶が刻まれたパンドラです。","铭刻着封印记忆的潘多拉，那道封印曾将赫托斯束缚于大地之下。","Una Pandora marcada por el recuerdo del sello que una vez encadenó a Hethos bajo la tierra.","Пандора с памятью о печати, некогда сковавшей Хетоса под землёй.","Uma Pandora marcada pela memória do selo que um dia prendeu Hethos sob a terra.","Eine Pandora mit der Erinnerung an das Siegel, das Hethos einst unter der Erde fesselte.","Une Pandora marquée par le souvenir du sceau qui retenait jadis Hethos sous terre.","Pandora naznaczona pamięcią pieczęci, która niegdyś więziła Hethosa pod ziemią.","銘刻著封印記憶的潘朵拉，那道封印曾將赫托斯束縛於大地之下。","Bir zamanlar Hethos’u yerin altında bağlayan mührün hatırasını taşıyan bir Pandora."
"Product./Game/Pandora/Data/DA_Pandora_Creation.DA_Pandora_Creation.Name","창조","Creation","創造","创造","Creación","Созидание","Criação","Schöpfung","Création","Stworzenie","創造","Yaratılış"
"Product./Game/Pandora/Data/DA_Pandora_Creation.DA_Pandora_Creation.Description","카타의 첫 기적에서 떨어져 나온 조각. 미완성 세계와 갓 깨어난 생명의 온기를 품고 있습니다.","A fragment of Kata’s first miracle, carrying the warmth of unfinished worlds and newly awakened life.","カタの最初の奇跡の欠片。未完成の世界と、目覚めたばかりの生命の温もりを宿しています。","卡塔最初奇迹的一块碎片，承载着未完成世界与初醒生命的温暖。","Un fragmento del primer milagro de Kata, con la calidez de mundos inacabados y vidas recién despertadas.","Осколок первого чуда Каты, хранящий тепло незавершённых миров и только что пробудившейся жизни.","Um fragmento do primeiro milagre de Kata, com o calor de mundos inacabados e vidas recém-despertas.","Ein Splitter von Katas erstem Wunder, erfüllt von der Wärme unvollendeter Welten und neu erwachten Lebens.","Un fragment du premier miracle de Kata, portant la chaleur des mondes inachevés et de la vie naissante.","Fragment pierwszego cudu Katy, niosący ciepło niedokończonych światów i świeżo przebudzonego życia.","卡塔最初奇蹟的一塊碎片，承載著未完成世界與初醒生命的溫暖。","Kata’nın ilk mucizesinden bir parça. Tamamlanmamış dünyaların ve yeni uyanmış yaşamın sıcaklığını taşır."
"Product./Game/Pandora/Data/DA_Pandora_Darkness.DA_Pandora_Darkness.Name","어둠","Darkness","闇","黑暗","Oscuridad","Тьма","Escuridão","Dunkelheit","Ténèbres","Ciemność","黑暗","Karanlık"
"Product./Game/Pandora/Data/DA_Pandora_Darkness.DA_Pandora_Darkness.Description","빛조차 머무르기를 두려워한 폐허의 도시들을 떠돌던 고요한 판도라입니다.","A quiet Pandora that drifted through ruined cities where even light feared to remain.","光さえ留まることを恐れた廃墟の街々を漂っていた、静かなパンドラです。","寂静的潘多拉，曾飘荡于连光芒都不敢停留的废墟城市。","Una Pandora silenciosa que vagó por ciudades en ruinas donde incluso la luz temía quedarse.","Тихая Пандора, скитавшаяся по руинам городов, где даже свет боялся задержаться.","Uma Pandora silenciosa que vagou por cidades em ruínas onde até a luz temia permanecer.","Eine stille Pandora, die durch zerstörte Städte trieb, in denen selbst das Licht nicht bleiben wollte.","Une Pandora silencieuse qui errait dans des cités en ruine où même la lumière craignait de rester.","Cicha Pandora wędrująca po ruinach miast, w których nawet światło bało się pozostać.","寂靜的潘朵拉，曾飄蕩於連光芒都不敢停留的廢墟城市。","Işığın bile kalmaktan korktuğu harap şehirlerde dolaşmış sessiz bir Pandora."
"Product./Game/Pandora/Data/DA_Pandora_Death.DA_Pandora_Death.Name","죽음","Death","死","死亡","Muerte","Смерть","Morte","Tod","Mort","Śmierć","死亡","Ölüm"
"Product./Game/Pandora/Data/DA_Pandora_Death.DA_Pandora_Death.Description","죽음이 지나간 자리에 남은 침묵의 판도라. 두려워하는 이에게는 차갑지만, 받아들인 이에게는 기묘한 평온을 줍니다.","A silent Pandora left in the wake of Death, cold to the fearful and strangely peaceful to the resigned.","死の通った跡に残る静かなパンドラ。怯える者には冷たく、受け入れた者には不思議な安らぎを与えます。","死亡过后留下的无声潘多拉，对恐惧者冰冷，对坦然接受者却异常平静。","Una Pandora silenciosa dejada por la Muerte, fría para los temerosos y extrañamente serena para quienes se resignan.","Безмолвная Пандора, оставленная Смертью: холодная для боящихся и странно мирная для смирившихся.","Uma Pandora silenciosa deixada pela Morte, fria para quem teme e estranhamente tranquila para quem aceita.","Eine stille Pandora im Gefolge des Todes, kalt für die Ängstlichen und seltsam friedlich für die Ergebenen.","Une Pandora silencieuse laissée par la Mort, froide pour les craintifs et étrangement paisible pour les résignés.","Milcząca Pandora pozostawiona przez Śmierć, zimna dla przerażonych i dziwnie spokojna dla pogodzonych z losem.","死亡過後留下的無聲潘朵拉，對恐懼者冰冷，對坦然接受者卻異常平靜。","Ölüm’ün ardında kalan sessiz bir Pandora. Korkanlara soğuk, kabullenenlere ise tuhaf biçimde huzurludur."
"Product./Game/Pandora/Data/DA_Pandora_Demon.DA_Pandora_Demon.Name","악마","Demon","悪魔","恶魔","Demonio","Демон","Demônio","Dämon","Démon","Demon","惡魔","İblis"
"Product./Game/Pandora/Data/DA_Pandora_Demon.DA_Pandora_Demon.Description","바알의 몰락한 지배가 남긴 흔적. 단순히 사악한 것이 아니라, 신과 인간 어느 쪽에도 무릎 꿇지 않는 오만함과 반항을 품고 있습니다.","A remnant of Baal’s fallen dominion, not merely wicked, but proud, defiant, and unwilling to kneel before gods or men.","バアルの滅びた支配の残滓。単なる邪悪ではなく、神にも人にも屈しない誇りと反逆を宿しています。","巴尔衰亡统治的残迹，不仅邪恶，更骄傲而桀骜，不愿向神或人屈膝。","Un vestigio del dominio caído de Baal, no solo malvado, sino orgulloso, desafiante e incapaz de arrodillarse ante dioses u hombres.","Остаток павшей власти Баала: не просто зло, а гордость и непокорность, не желающие склониться перед богами или людьми.","Um vestígio do domínio caído de Baal: não apenas maligno, mas orgulhoso e rebelde, recusando-se a se curvar a deuses ou homens.","Ein Rest von Baals gefallenem Reich: nicht nur böse, sondern stolz, trotzig und unwillig, vor Göttern oder Menschen zu knien.","Un vestige du règne déchu de Baal, non seulement maléfique, mais fier, rebelle et refusant de plier devant dieux ou hommes.","Pozostałość upadłego panowania Baala: nie tylko zła, lecz dumna i niepokorna, nieklękająca przed bogami ani ludźmi.","巴爾衰亡統治的殘跡，不僅邪惡，更驕傲而桀驁，不願向神或人屈膝。","Baal’ın yıkılan egemenliğinden bir kalıntı. Yalnızca kötü değil; gururlu, başkaldıran ve tanrılara ya da insanlara diz çökmeyendir."
"Product./Game/Pandora/Data/DA_Pandora_Dimension.DA_Pandora_Dimension.Name","차원","Dimension","次元","次元","Dimensión","Измерение","Dimensão","Dimension","Dimension","Wymiar","次元","Boyut"
"Product./Game/Pandora/Data/DA_Pandora_Dimension.DA_Pandora_Dimension.Description","디바인이 세계 너머로 탈출하며 남긴 부서진 판도라. 다른 현실의 기억으로 아직도 떨리고 있습니다.","A fractured Pandora left behind when Divine escaped beyond the world, still trembling with the memory of another reality.","ディヴァインが世界の外へ逃れた際に残した砕けたパンドラ。別の現実の記憶に今も震えています。","迪瓦因逃往世界之外时留下的破碎潘多拉，仍因另一重现实的记忆而颤动。","Una Pandora fracturada que Divine dejó al escapar del mundo, aún temblando con el recuerdo de otra realidad.","Расколотая Пандора, оставленная Дивайном при бегстве за пределы мира. Она всё ещё дрожит от памяти иной реальности.","Uma Pandora fraturada deixada por Divine ao fugir para além do mundo, ainda tremendo com a memória de outra realidade.","Eine zerbrochene Pandora, die Divine bei seiner Flucht jenseits der Welt hinterließ, noch bebend vor der Erinnerung an eine andere Realität.","Une Pandora brisée laissée lorsque Divine s’échappa au-delà du monde, frémissant encore du souvenir d’une autre réalité.","Pęknięta Pandora pozostawiona przez Divine’a podczas ucieczki poza świat, wciąż drżąca wspomnieniem innej rzeczywistości.","迪瓦因逃往世界之外時留下的破碎潘朵拉，仍因另一重現實的記憶而顫動。","Divine dünyadan kaçarken geride kalan parçalanmış bir Pandora. Başka bir gerçekliğin anısıyla hâlâ titrer."
"Product./Game/Pandora/Data/DA_Pandora_Distortion.DA_Pandora_Distortion.Name","왜곡","Distortion","歪曲","扭曲","Distorsión","Искажение","Distorção","Verzerrung","Distorsion","Zniekształcenie","扭曲","Çarpıtma"
"Product./Game/Pandora/Data/DA_Pandora_Distortion.DA_Pandora_Distortion.Description","부서진 차원과 불안정한 기억이 서로 무너져 겹친 곳에서 태어난 뒤틀린 판도라입니다.","A warped Pandora born where broken dimensions and unstable memories collapsed into one another.","壊れた次元と不安定な記憶が互いに崩れ重なった場所で生まれた、歪んだパンドラです。","诞生于破碎次元与不稳定记忆相互坍缩之处的扭曲潘多拉。","Una Pandora retorcida nacida donde dimensiones rotas y recuerdos inestables colapsaron entre sí.","Искажённая Пандора, рождённая там, где разрушенные измерения и нестабильные воспоминания слились при обрушении.","Uma Pandora distorcida nascida onde dimensões quebradas e memórias instáveis desmoronaram umas sobre as outras.","Eine verzerrte Pandora, entstanden, wo zerbrochene Dimensionen und instabile Erinnerungen ineinanderstürzten.","Une Pandora déformée née là où dimensions brisées et souvenirs instables se sont effondrés les uns sur les autres.","Wypaczona Pandora zrodzona tam, gdzie rozbite wymiary i niestabilne wspomnienia zapadły się w siebie.","誕生於破碎次元與不穩定記憶相互坍縮之處的扭曲潘朵拉。","Parçalanmış boyutlarla kararsız anıların birbirine çöktüğü yerde doğan çarpık bir Pandora."
"Product./Game/Pandora/Data/DA_Pandora_Doll.DA_Pandora_Doll.Name","인형","Doll","人形","人偶","Muñeca","Кукла","Boneca","Puppe","Poupée","Lalka","人偶","Bebek"
"Product./Game/Pandora/Data/DA_Pandora_Doll.DA_Pandora_Doll.Description","누군가 돌아오기를 수백 년간 기다린 잊힌 인형 곁에서 생겨났다고 전해지는 외로운 판도라입니다.","A lonely Pandora said to have formed around a forgotten doll that waited centuries for someone to return.","誰かの帰りを何百年も待ち続けた、忘れられた人形の周りに生まれたという孤独なパンドラです。","孤独的潘多拉，据说诞生于被遗忘的人偶身旁，那人偶等待某个人归来已有数百年。","Una Pandora solitaria que se formó junto a una muñeca olvidada que esperó siglos el regreso de alguien.","Одинокая Пандора, якобы возникшая вокруг забытой куклы, веками ждавшей чьего-то возвращения.","Uma Pandora solitária que teria surgido ao redor de uma boneca esquecida que esperou séculos por alguém.","Eine einsame Pandora, die um eine vergessene Puppe entstanden sein soll, die jahrhundertelang auf die Rückkehr eines Menschen wartete.","Une Pandora solitaire qui serait née près d’une poupée oubliée attendant depuis des siècles le retour de quelqu’un.","Samotna Pandora, która podobno powstała wokół zapomnianej lalki czekającej przez wieki na czyjś powrót.","孤獨的潘朵拉，據說誕生於被遺忘的人偶身旁，那人偶等待某個人歸來已有數百年。","Birinin dönmesini yüzyıllarca bekleyen unutulmuş bir bebeğin çevresinde oluştuğu söylenen yalnız bir Pandora."
"Product./Game/Pandora/Data/DA_Pandora_Doom.DA_Pandora_Doom.Name","파멸","Doom","破滅","毁灭","Perdición","Рок","Ruína","Verderben","Ruine","Zagłada","毀滅","Kıyamet"
"Product./Game/Pandora/Data/DA_Pandora_Doom.DA_Pandora_Doom.Description","칼립스의 재앙에 물든 무거운 판도라. 마지막 기록조차 남기지 못하고 사라진 마을들의 기억을 품고 있습니다.","A heavy Pandora stained by Calyps’ calamity, remembered in villages that vanished before they could write their final records.","カリプスの災厄に染まった重いパンドラ。最後の記録を残す間もなく消えた村々の記憶を宿しています。","被卡利普斯灾厄浸染的沉重潘多拉，铭记着来不及留下最后记录便消失的村庄。","Una Pandora pesada manchada por la calamidad de Calyps, recordada en aldeas que desaparecieron antes de dejar su último testimonio.","Тяжёлая Пандора, запятнанная бедствием Калипса. Её помнят деревни, исчезнувшие прежде, чем успели оставить последние записи.","Uma Pandora pesada manchada pela calamidade de Calyps, lembrada em vilas que desapareceram antes de deixar seus últimos registros.","Eine schwere Pandora, gezeichnet von Calyps’ Unheil, bewahrt in der Erinnerung an Dörfer, die vor ihren letzten Aufzeichnungen verschwanden.","Une lourde Pandora souillée par le cataclysme de Calyps, liée aux villages disparus avant de pouvoir laisser leurs derniers récits.","Ciężka Pandora skażona klęską Calypsa, pamiętana w wioskach, które zniknęły, zanim spisały ostatnie kroniki.","被卡利普斯災厄浸染的沉重潘朵拉，銘記著來不及留下最後紀錄便消失的村莊。","Calyps’in felaketiyle lekelenmiş ağır bir Pandora. Son kayıtlarını yazamadan yok olan köylerin hatırasını taşır."
"Product./Game/Pandora/Data/DA_Pandora_Duplication.DA_Pandora_Duplication.Name","복제","Duplicaion","複製","复制","Duplicación","Дублирование","Duplicação","Duplikation","Duplication","Powielenie","複製","Çoğaltma"
"Product./Game/Pandora/Data/DA_Pandora_Duplication.DA_Pandora_Duplication.Description","자기 자신에게서 벗어나려다 어둠 속에서 또 다른 자신을 마주한 이들이 빚어낸 거울 같은 판도라입니다.","A mirror-like Pandora shaped by those who wished to escape themselves, only to meet another self in the dark.","自分から逃れようとして、闇の中でもう一人の自分に出会った者たちが形作った鏡のようなパンドラです。","如镜般的潘多拉，由那些渴望逃离自我、却在黑暗中遇见另一个自己的人塑造。","Una Pandora como un espejo, forjada por quienes quisieron huir de sí mismos y hallaron otro yo en la oscuridad.","Зеркальная Пандора тех, кто хотел сбежать от себя, но встретил другого себя во тьме.","Uma Pandora espelhada moldada por quem tentou fugir de si e encontrou outro eu na escuridão.","Eine spiegelgleiche Pandora jener, die vor sich selbst fliehen wollten und im Dunkeln einem anderen Ich begegneten.","Une Pandora semblable à un miroir, façonnée par ceux qui fuyaient leur être pour rencontrer un autre soi dans l’obscurité.","Lustrzana Pandora tych, którzy chcieli uciec od siebie, lecz w ciemności spotkali drugie ja.","如鏡般的潘朵拉，由那些渴望逃離自我、卻在黑暗中遇見另一個自己的人塑造。","Kendinden kaçmak isteyip karanlıkta başka bir benlikle karşılaşanların şekillendirdiği, ayna gibi bir Pandora."
"Product./Game/Pandora/Data/DA_Pandora_Fire.DA_Pandora_Fire.Name","화염","Fire","炎","火焰","Fuego","Огонь","Fogo","Feuer","Feu","Ogień","火焰","Ateş"
"Product./Game/Pandora/Data/DA_Pandora_Fire.DA_Pandora_Fire.Description","한때 주작이 지나간 전장의 재 속에서 발견된 불타는 판도라입니다.","A burning Pandora found in the ashes of battlefields once crossed by the Vermilion Bird.","かつて朱雀が通った戦場の灰の中で見つかった、燃え盛るパンドラです。","在朱雀曾掠过的战场灰烬中发现的炽热潘多拉。","Una Pandora ardiente hallada en las cenizas de campos de batalla que antaño cruzó el Ave Bermellón.","Пылающая Пандора из пепла полей сражений, над которыми некогда пролетала Алая птица.","Uma Pandora ardente encontrada nas cinzas de campos de batalha por onde passou o Pássaro Vermelho.","Eine brennende Pandora aus der Asche von Schlachtfeldern, die einst der Zinnoberrote Vogel durchquerte.","Une Pandora ardente trouvée dans les cendres des champs de bataille jadis traversés par l’Oiseau vermillon.","Płonąca Pandora znaleziona w popiołach pól bitew, które niegdyś przemierzał Cynobrowy Ptak.","在朱雀曾掠過的戰場灰燼中發現的熾熱潘朵拉。","Bir zamanlar Kızıl Kuş’un geçtiği savaş alanlarının küllerinde bulunan yanan bir Pandora."
"Product./Game/Pandora/Data/DA_Pandora_Freeze.DA_Pandora_Freeze.Name","빙결","Freeze","凍結","冰冻","Congelación","Мороз","Congelamento","Frost","Gel","Mróz","冰凍","Donma"
"Product./Game/Pandora/Data/DA_Pandora_Freeze.DA_Pandora_Freeze.Description","현무의 숨결과 눈 덮인 폐허의 침묵을 품은 얼어붙은 판도라입니다.","A frozen Pandora that carries the breath of Black Tortoise and the silence of snow-covered ruins.","玄武の息吹と、雪に覆われた廃墟の静寂を宿す凍ったパンドラです。","冰封的潘多拉，蕴含玄武的气息与积雪废墟的寂静。","Una Pandora helada que lleva el aliento de la Tortuga Negra y el silencio de ruinas nevadas.","Ледяная Пандора с дыханием Чёрной черепахи и тишиной заснеженных руин.","Uma Pandora congelada com o sopro da Tartaruga Negra e o silêncio de ruínas cobertas de neve.","Eine gefrorene Pandora mit dem Atem der Schwarzen Schildkröte und der Stille verschneiter Ruinen.","Une Pandora gelée portant le souffle de la Tortue noire et le silence des ruines enneigées.","Zamarznięta Pandora z oddechem Czarnego Żółwia i ciszą ośnieżonych ruin.","冰封的潘朵拉，蘊含玄武的氣息與積雪廢墟的寂靜。","Kara Kaplumbağa’nın nefesini ve karla örtülü harabelerin sessizliğini taşıyan donmuş bir Pandora."
"Product./Game/Pandora/Data/DA_Pandora_Giant.DA_Pandora_Giant.Name","거인","Giant","巨人","巨人","Gigante","Гигант","Gigante","Riese","Géant","Olbrzym","巨人","Dev"
"Product./Game/Pandora/Data/DA_Pandora_Giant.DA_Pandora_Giant.Description","봉인된 헤토스의 심장 박동이 울리는 거대한 판도라. 대지 자체가 아직 그의 발걸음을 기억하는 듯합니다.","A massive Pandora echoing with the sealed heartbeat of Hethos, as if the earth itself still remembers his steps.","封じられたヘトスの鼓動が響く巨大なパンドラ。大地そのものが今も彼の足音を覚えているかのようです。","回荡着赫托斯被封印心跳的巨大潘多拉，仿佛大地仍记得他的脚步。","Una Pandora enorme que resuena con el latido sellado de Hethos, como si la tierra aún recordara sus pasos.","Огромная Пандора с эхом запечатанного сердца Хетоса, словно сама земля помнит его шаги.","Uma Pandora imensa que ecoa o coração selado de Hethos, como se a terra ainda lembrasse seus passos.","Eine gewaltige Pandora, in der Hethos’ versiegeltes Herz schlägt, als erinnere sich die Erde noch an seine Schritte.","Une immense Pandora où résonne le cœur scellé d’Hethos, comme si la terre se souvenait encore de ses pas.","Ogromna Pandora rozbrzmiewająca uwięzionym sercem Hethosa, jakby ziemia wciąż pamiętała jego kroki.","迴盪著赫托斯被封印心跳的巨大潘朵拉，彷彿大地仍記得他的腳步。","Hethos’un mühürlü kalp atışlarıyla yankılanan devasa bir Pandora. Sanki toprağın kendisi onun adımlarını hatırlar."
"Product./Game/Pandora/Data/DA_Pandora_Hand.DA_Pandora_Hand.Name","손","Hand","手","手","Mano","Рука","Mão","Hand","Main","Dłoń","手","El"
"Product./Game/Pandora/Data/DA_Pandora_Hand.DA_Pandora_Hand.Description","로타타 마르틴과 연결된 지배적인 판도라. 어떤 병사도 의문을 품을 수 없었던 성벽 뒤의 명령이 그 형태를 빚었습니다.","A commanding Pandora tied to Rotata Martin, shaped by orders given from behind walls no soldier was allowed to question.","ロタタ・マルティンに結びつく支配のパンドラ。兵士が疑問を持つことすら許されなかった壁の向こうの命令が形作りました。","与罗塔塔·马丁相连的支配性潘多拉，由高墙后不容士兵质疑的命令塑造。","Una Pandora dominante ligada a Rotata Martin, moldeada por órdenes tras muros que ningún soldado podía cuestionar.","Властная Пандора Ротаты Мартина, сформированная приказами из-за стен, которые ни один солдат не смел оспорить.","Uma Pandora de comando ligada a Rotata Martin, moldada por ordens vindas de trás de muros que nenhum soldado podia questionar.","Eine gebieterische Pandora, verbunden mit Rotata Martin, geformt von Befehlen hinter Mauern, die kein Soldat hinterfragen durfte.","Une Pandora autoritaire liée à Rotata Martin, façonnée par des ordres donnés derrière des murs qu’aucun soldat ne pouvait contester.","Władcza Pandora związana z Rotatą Martinem, ukształtowana rozkazami zza murów, których żaden żołnierz nie mógł podważyć.","與羅塔塔·馬丁相連的支配性潘朵拉，由高牆後不容士兵質疑的命令塑造。","Rotata Martin’e bağlı, buyurgan bir Pandora. Hiçbir askerin sorgulayamadığı duvarların ardındaki emirlerle şekillenmiştir."
"Product./Game/Pandora/Data/DA_Pandora_HolyKnight.DA_Pandora_HolyKnight.Name","성기사","Holy Knight","聖騎士","圣骑士","Caballero Sagrado","Святой рыцарь","Cavaleiro Sagrado","Heiliger Ritter","Chevalier sacré","Święty Rycerz","聖騎士","Kutsal Şövalye"
"Product./Game/Pandora/Data/DA_Pandora_HolyKnight.DA_Pandora_HolyKnight.Description","신들이 몰락한 뒤에도 하늘을 섬긴 오래된 기사단의 맹세에서 태어난 고귀한 판도라입니다.","A noble Pandora born from the vows of an old knight order that served heaven even after the gods fell.","神々が倒れた後も天に仕えた、古き騎士団の誓いから生まれた高潔なパンドラです。","高贵的潘多拉，诞生于古老骑士团的誓言；即使诸神陨落，他们仍侍奉天界。","Una Pandora noble nacida de los votos de una antigua orden de caballeros que sirvió al cielo incluso tras la caída de los dioses.","Благородная Пандора из клятв древнего рыцарского ордена, служившего небесам даже после падения богов.","Uma Pandora nobre nascida dos votos de uma antiga ordem de cavaleiros que serviu ao céu mesmo após a queda dos deuses.","Eine edle Pandora aus den Gelübden eines alten Ritterordens, der dem Himmel auch nach dem Fall der Götter diente.","Une noble Pandora née des vœux d’un ancien ordre de chevaliers, resté au service du ciel même après la chute des dieux.","Szlachetna Pandora z przysiąg dawnego zakonu rycerskiego, który służył niebu nawet po upadku bogów.","高貴的潘朵拉，誕生於古老騎士團的誓言；即使諸神隕落，他們仍侍奉天界。","Tanrılar düştükten sonra bile göğe hizmet eden eski bir şövalye tarikatının yeminlerinden doğan asil bir Pandora."
"Product./Game/Pandora/Data/DA_Pandora_Light.DA_Pandora_Light.Name","빛","Light","光","光明","Luz","Свет","Luz","Licht","Lumière","Światło","光明","Işık"
"Product./Game/Pandora/Data/DA_Pandora_Light.DA_Pandora_Light.Description","라트의 빛과 희미해지는 미카엘의 은총을 품은 밝은 판도라. 어둠을 살아남은 이에게 가장 선명하게 빛납니다.","A bright Pandora carrying the trace of Rat’s light and Michael’s fading grace, most vivid to those who survived the dark.","ラトの光と薄れゆくミカエルの恩寵を宿す明るいパンドラ。闇を生き抜いた者に最も鮮やかに輝きます。","光辉的潘多拉，带着拉特之光与米迦勒渐逝的恩典，在熬过黑暗者眼中最为鲜明。","Una Pandora brillante con rastros de la luz de Rat y la gracia menguante de Michael, más viva para quienes sobrevivieron a la oscuridad.","Светлая Пандора со следом света Рата и угасающей благодати Михаэля, ярче всего сияющая для переживших тьму.","Uma Pandora brilhante com vestígios da luz de Rat e da graça enfraquecida de Michael, mais viva para quem sobreviveu à escuridão.","Eine helle Pandora mit Rats Licht und Michaels schwindender Gnade, am deutlichsten für jene, die die Dunkelheit überlebten.","Une Pandora lumineuse portant la lumière de Rat et la grâce déclinante de Michael, plus vive pour les survivants des ténèbres.","Jasna Pandora ze śladem światła Rata i gasnącej łaski Michaela, najżywsza dla tych, którzy przetrwali ciemność.","光輝的潘朵拉，帶著拉特之光與米迦勒漸逝的恩典，在熬過黑暗者眼中最為鮮明。","Rat’ın ışığını ve Michael’ın solan lütfunu taşıyan parlak bir Pandora. Karanlıktan sağ çıkanlara en canlı hâliyle görünür."
"Product./Game/Pandora/Data/DA_Pandora_Lightning.DA_Pandora_Lightning.Name","번개","Lightning","雷","闪电","Relámpago","Молния","Relâmpago","Blitz","Foudre","Błyskawica","閃電","Yıldırım"
"Product./Game/Pandora/Data/DA_Pandora_Lightning.DA_Pandora_Lightning.Description","라니가 남긴 쉼 없는 판도라. 한순간 일찍 찾아온 기억처럼 심장을 꿰뚫습니다.","A restless Pandora left by Rani, striking the heart like a memory that arrives one moment too soon.","ラニが残した落ち着きのないパンドラ。一瞬早く訪れた記憶のように心を打ちます。","拉尼留下的躁动潘多拉，如同早到一瞬的记忆般击中心灵。","Una Pandora inquieta dejada por Rani, que golpea el corazón como un recuerdo que llega un instante antes de tiempo.","Неугомонная Пандора Рани, поражающая сердце, словно воспоминание, пришедшее на миг раньше срока.","Uma Pandora inquieta deixada por Rani, atingindo o coração como uma lembrança que chega um instante cedo demais.","Eine ruhelose Pandora von Rani, die das Herz trifft wie eine Erinnerung, die einen Augenblick zu früh kommt.","Une Pandora agitée laissée par Rani, frappant le cœur comme un souvenir arrivé un instant trop tôt.","Niespokojna Pandora pozostawiona przez Rani, uderzająca w serce jak wspomnienie przychodzące o chwilę za wcześnie.","拉尼留下的躁動潘朵拉，如同早到一瞬的記憶般擊中心靈。","Rani’nin bıraktığı huzursuz bir Pandora. Bir an erken gelen hatıra gibi kalbe çarpar."
"Product./Game/Pandora/Data/DA_Pandora_Machine.DA_Pandora_Machine.Name","기계","Machine","機械","机械","Máquina","Машина","Máquina","Maschine","Machine","Maszyna","機械","Makine"
"Product./Game/Pandora/Data/DA_Pandora_Machine.DA_Pandora_Machine.Description","에라드의 금지된 연구로 만들어진 기계 판도라. 차가운 형체 속에 기이하게도 살아 있는 듯한 맥박이 느껴집니다.","A mechanical Pandora created from Erad’s forbidden research, cold in shape yet strangely close to a living pulse.","エラドの禁断の研究が生んだ機械のパンドラ。冷たい姿でありながら、不思議と生きた鼓動に近いものを感じさせます。","埃拉德禁忌研究创造的机械潘多拉，外形冰冷，却奇异地近似活物的脉动。","Una Pandora mecánica creada por las investigaciones prohibidas de Erad, de forma fría pero extrañamente cercana a un pulso vivo.","Механическая Пандора из запретных исследований Эрада: холодная по форме, но странно близкая к живому пульсу.","Uma Pandora mecânica criada pela pesquisa proibida de Erad, fria na forma, mas estranhamente próxima de um pulso vivo.","Eine mechanische Pandora aus Erads verbotener Forschung, kalt in ihrer Form und doch seltsam nah an einem lebendigen Puls.","Une Pandora mécanique issue des recherches interdites d’Erad, froide d’apparence mais étrangement proche d’un pouls vivant.","Mechaniczna Pandora z zakazanych badań Erada, zimna w formie, lecz dziwnie bliska żywemu pulsowi.","艾拉德禁忌研究創造的機械潘朵拉，外形冰冷，卻奇異地近似活物的脈動。","Erad’ın yasak araştırmalarından yaratılmış mekanik bir Pandora. Soğuk biçimine rağmen canlı bir nabza tuhafça yakındır."
"Product./Game/Pandora/Data/DA_Pandora_Nature.DA_Pandora_Nature.Name","자연","Nature","自然","自然","Naturaleza","Природа","Natureza","Natur","Nature","Natura","自然","Doğa"
"Product./Game/Pandora/Data/DA_Pandora_Nature.DA_Pandora_Nature.Description","모니아의 대지와 카타의 첫 숲에서 태어난 온화한 판도라. 비 온 뒤 흙내음을 간직하고 있습니다.","A gentle Pandora born from Monia’s earth and Kata’s first forests, carrying the scent of soil after rain.","モニアの大地とカタの最初の森から生まれた穏やかなパンドラ。雨上がりの土の香りを宿しています。","温柔的潘多拉，诞生于莫尼亚的大地与卡塔最初的森林，带着雨后泥土的气息。","Una Pandora apacible nacida de la tierra de Monia y los primeros bosques de Kata, con aroma a suelo tras la lluvia.","Мягкая Пандора из земли Монии и первых лесов Каты, пахнущая почвой после дождя.","Uma Pandora gentil nascida da terra de Monia e das primeiras florestas de Kata, com cheiro de solo após a chuva.","Eine sanfte Pandora aus Monias Erde und Katas ersten Wäldern, erfüllt vom Duft des Bodens nach dem Regen.","Une douce Pandora née de la terre de Monia et des premières forêts de Kata, portant l’odeur du sol après la pluie.","Łagodna Pandora z ziemi Monii i pierwszych lasów Katy, pachnąca glebą po deszczu.","溫柔的潘朵拉，誕生於莫尼亞的大地與卡塔最初的森林，帶著雨後泥土的氣息。","Monia’nın toprağından ve Kata’nın ilk ormanlarından doğan nazik bir Pandora. Yağmur sonrası toprak kokusunu taşır."
"Product./Game/Pandora/Data/DA_Pandora_NineTailedFox.DA_Pandora_NineTailedFox.Name","구미호","Nine-Tailed Fox","九尾の狐","九尾狐","Zorro de Nueve Colas","Девятихвостый лис","Raposa de Nove Caudas","Neunschwänziger Fuchs","Renard à neuf queues","Dziewięcioogoniasty Lis","九尾狐","Dokuz Kuyruklu Tilki"
